geneSymbol logFC P.Value adj.P.Val
Uap1l1 1.08844252100761 2.34196298829395e-09 8.71891793629559e-08
Acsl1 -1.46318075142301 2.35839205239107e-09 8.75298284876623e-08
Ugt2b1 -2.19819594609874 2.38044312898947e-09 8.80763957726104e-08
Myef2 1.3611415865248 2.41170068086083e-09 8.8959204562428e-08
2700078E11Rik 1.01217340564541 2.44336867778121e-09 8.98517074933305e-08
Gnl3l 0.761500029522578 2.4568678247666e-09 9.00726694903e-08
Cav2 1.26215344337091 2.48435268065628e-09 9.08034680391847e-08
Tmx1 0.723058697923182 2.50850939910365e-09 9.11188710311107e-08
Ctps 1.02804471081539 2.51375559303507e-09 9.11188710311107e-08
Raver1 0.87307425516686 2.51571436027682e-09 9.11188710311107e-08
Rpp38 1.39957589265167 2.52679379528584e-09 9.12453314964333e-08
A2ld1 -0.832740442512419 2.56145843932813e-09 9.20389543620359e-08
Fen1 2.31638006805548 2.56407897806919e-09 9.20389543620359e-08
Wbp5 1.75008585386254 2.57919553586847e-09 9.23060307107689e-08
Ywhaq 0.755557197074571 2.63239742911407e-09 9.3930501736192e-08
G3bp2 1.11443248637236 2.65252007058711e-09 9.4089307001376e-08
Cyp4f13 -0.912905150667616 2.66004791213093e-09 9.4089307001376e-08
Mis18bp1 1.35084028851643 2.66032136220107e-09 9.4089307001376e-08
Gm20319 -0.990173521315023 2.67840120852935e-09 9.44509517084032e-08
Pdlim7 1.10624832732329 2.70203423885373e-09 9.50057360298717e-08
E130306D19Rik 2.71249411502441 2.7504534417653e-09 9.63635379233985e-08
Qdpr -1.39117199721818 2.76376161163644e-09 9.63635379233985e-08
Smtn 1.82862648109873 2.76469194042183e-09 9.63635379233985e-08
Mup-ps14 -1.62468205145671 2.8415202878077e-09 9.86568101995225e-08
Dnajb4 0.670284895275166 2.84689506355379e-09 9.86568101995225e-08
Gins3 1.11514584831615 2.86937573040637e-09 9.91501240176339e-08
Tm4sf4 1.26092083334745 2.90968810117311e-09 1.00255012655034e-07
Eml4 0.777834178418691 2.93582845094942e-09 1.00866677493334e-07
Ppl 1.88601194091296 3.00136818927361e-09 1.02824650928818e-07
Il13ra1 1.36216173424541 3.03157415186152e-09 1.03564429477655e-07
Nop58 1.60867169641206 3.05672937678501e-09 1.04110958916179e-07
Sf3a1 0.834137239166096 3.06488810447628e-09 1.04110958916179e-07
Gm3756 2.05979744466231 3.09885713864139e-09 1.04968329837078e-07
